Speaker,Teacher (T) or Child (C) Script (S),Utterance/Idea Units,Code,Predictions_Forecast Explanation
33302:,T,What can you do to control the invasive germ that causes the flu when you are sick?,X,"Step 1:#### This utterance does not meet the criteria for the Predictions/Forecast code as it focuses on asking for methods to control an invasive germ rather than making or soliciting predictions about future events or outcomes related to the characters or events. The keywords or phrases associated with making predictions, such as ""expect,"" ""anticipate,"" or ""will happen next,"" are not present. Instead, this question seeks practical advice or knowledge about handling a situation, which does not align with making predictions or forecasting future events. 
Step 2:"
33304,T,"Dani, what can you do to prevent your clothes from shrinking when you wash them?",X,"Step 1:#### This utterance does not include keywords or phrases related to predictions or forecasts such as expect, anticipate, will happen next, or could happen next. Instead, it asks for preventative measures or advice regarding clothes shrinking, which is more aligned with seeking practical solutions or advice rather than making a future-oriented prediction or forecast. The coding manual emphasizes keywords and scenarios that involve predicting future events or outcomes, which is not the focus of this utterance.
Step 2:"
444025:,C,"Umm, I could stay home drink medicine and don't uh...",X,"Step 1:#### This utterance does not contain keywords or phrases associated with predictions or forecasting as outlined in the coding manual. It seems to be a speculative statement about personal actions rather than a predictive inference about future events or plans of characters. The utterance lacks an explicit statement of what will happen next or a forecasted causal chain into the future.
Step 2:"
444023,C,They have two 200 and there's some little day or like month or year they decrease.,X,"Step 1:#### This utterance does not meet the criteria for the Predictions/Forecast code. While it mentions a change over time (""decrease""), it lacks any explicit statement or inquiry regarding a forecasted causal chain into the future, predictions about specific events that will happen next, or any rationale for such a prediction. It appears to describe an observation or trend rather than making a prediction about future events or plans. 
Step 2:"
444023:,C,"Oh, don't let pet owners are release them into the into the Everglades.",X,"Step 1:#### This utterance does not contain elements of making predictions or forecasts about future events or outcomes based on the coding manual criteria. It seems more like a cautionary statement rather than a prediction or a forecast about what might happen next or in the future. Therefore, it does not meet the criteria for a Predictions/Forecast code as it lacks keywords or phrases related to expecting, anticipating, or predicting future events or outcomes.
Step 2:"
33304:,T,What can you do to prevent this from happening? ,X,"Step 1:#### This utterance does not contain explicit keywords associated with the Predictions/Forecast code such as ""expect,"" ""anticipate,"" ""will happen next,"" or similar phrases that would suggest a focus on forecasting a causal chain into the future. Instead, it asks for measures or actions to prevent a certain event, which aligns more with problem-solving or prevention strategies rather than making a prediction about future events or outcomes. 
Step 2:"
33308,T,It will come back eventually.,X,"Step 1:#### This utterance does not meet the criteria for the Predictions/Forecast code as it lacks an explicit statement of what will happen next or any specifics about the future. There's a vague reference to something returning, but without a clear, forecasted causal chain or details about future events or plans, it does not align with the code requirements. The utterance does not contain keywords or phrases indicative of predicting such as “expect,” “anticipate,” or “will happen next,” nor does it explain the rationale behind such a prediction. The statement is too general and lacks context or specificity to be considered a prediction under the guidelines provided in the coding manual.
Step 2:"
33306,T,What would you do if you won a trophy?,1,"Step 1:#### This utterance meets the criteria for the Predictions/Forecast code as it explicitly asks for a prediction about a future event or plan (winning a trophy) and what actions would be taken in response. It encourages the respondent to think about and articulate a hypothetical future scenario, fitting the definition and purpose of making a prediction or forecast. 
Step 2:"
33304,T,"So, what can you do to prevent your clothes from shrinking when you wash them?",X,"Step 1:#### This utterance encourages the recipients to think ahead about actions that could prevent a specific outcome, in this case, clothes shrinking after being washed. It implicitly asks for a prediction about preventive measures, aligning with the essence of the prediction/forecast code. Even though it does not use the exact keywords or phrases from the coding manual, it embodies the principle of forecasting by expecting a response that would detail a planned action to avert an undesirable result. However, it slightly deviates from the coding manual's emphasis on causal chains into the future or predicting new plans for characters and specific events. The focus here is on practical, preventative advice rather than a narrative prediction or forecast. 
Step 2:"
33304:,T,Could you live under the sea? ,X,"Step 1:#### This utterance does not contain keywords or phrases related to making predictions or forecasting future events. Instead, it poses a hypothetical question about the ability to live under the sea, which does not necessarily infer a forecasted causal chain into the future or predict new plans for a character. There is no explicit statement of expectation, anticipation, or prediction of what will happen next. Therefore, it does not meet the specific criteria outlined for the Predictions/Forecast code. 
Step 2:"
