Speaker,Teacher (T) or Child (C) Script (S),Utterance/Idea Units,Code,Feelings_Emotions Explanation
444025:,C,Happy. ,1,"Step 1:#### The utterance contains the keyword ""Happy,"" which directly matches one of the specific keywords listed in the coding manual under the category of Feelings/Emotions. The manual instructs to code for explicit emotional states, including basic emotions like happiness. Thus, this utterance explicitly meets the coding criteria by directly naming an emotional state. 
Step 2:"
444011,C,Really angry because they're taking away...,1,"Step 1:#### The utterance contains the keyword ""angry"" which directly relates to the feelings/emotions coding criteria. The speaker is expressing a specific emotional state, making it clear that the code for Feelings/Emotions applies. The manual specifies the inclusion of direct statements of emotion which this utterance falls under. 
Step 2:"
444022:,C,Bad.,X,"Step 1:#### This utterance does not provide enough context to determine if it is referring to an emotional state or is simply an adjective describing something unrelated to emotions or feelings. The keyword ""bad"" could potentially indicate a negative emotional state if additional context were provided that aligned with the coding manual's definition regarding negative emotions or feelings. However, without further context indicating it describes an emotional state, it is insufficient to conclude that it meets the criteria for the Feelings/Emotions code.
Step 2:"
444025:,C,Because no one can annoy me. ,1,"Step 1:#### This utterance indirectly meets the criteria for the Feelings/Emotions code. The phrase ""no one can annoy me"" implies a state of being unbothered or unaffected, which relates to emotions such as feeling calm, confident, or even a sense of pride. The emotional state is inferred rather than explicitly stated, but according to the code notes, emotions can be marked regardless of whether they are inferred or explicitly stated. The utterance conveys an emotional stance through the negation of the potential for annoyance, thus fitting within the broader interpretation of the code’s criteria. 
Step 2:"
33302:,T,"And what can you tell me about your bed that is that makes it, uh comfortable. ",X,"Step 1:#### This utterance does not contain any keywords or meet the code notes criteria for Feelings/Emotions. The focus is on obtaining descriptive information about a bed's comfort without expressing or naming any emotional or affective states directly or indirectly.  
Step 2:"
444001,C,They feel confused because they probably feel confused because confused because they they didn't understand why they like caught them and release them back.,1,"Step 1:#### The utterance explicitly uses the keyword ""confused"" to describe someone's emotional state, emphasizing confusion about a specific situation where individuals didn't understand the rationale behind an action. This usage fits within the coding manual's definition of capturing feelings/emotions, particularly under the specific emotion of confusion, which is listed as a keyword. Therefore, the utterance meets the criteria for the Feelings/Emotions code by describing an emotional state, using mental state language, and explicitly stating the emotion experienced in the situation described. 
Step 2:"
33301,T,It would probably feel happy and free.,1,"Step 1:#### This utterance explicitly mentions a feeling, ""happy,"" which directly corresponds with the keywords listed in the coding manual under feelings/emotions. This demonstrates that the utterance involves describing an emotional state, aligning with the directive to code for naming or describing emotional or affective states. Additionally, the use of the word ""feel"" fits within the parameters set by the coding manual for identifying instances of emotions or feelings being discussed.
Step 2:"
33308,T,"That's so sad, but that's a really good job that you're doing.",1,"Step 1:#### The utterance explicitly uses the word ""sad"" to describe an emotional state, which directly aligns with one of the specific keywords listed in the coding manual under the Feelings/Emotions code. Furthermore, the phrase ""that's a really good job"" implies a positive emotional state, corresponding to feelings such as pride or happiness, which are also covered by the coding manual. This statement names emotional states and hence meets the criteria for coding as Feelings/Emotions. 
Step 2:"
444001,C,"They will be surprised, happy even they might run off.",1,"Step 1:#### This utterance explicitly states emotions, namely ""surprised"" and ""happy,"" which directly aligns with the coding manual criteria for capturing feelings/emotions. Keywords ""surprised"" and ""happy"" are listed in the manual as examples of feelings/emotions that should be coded under this category. Furthermore, the description of potential actions based on these feelings (i.e., they might run off) supports the presence of emotional states, which the code notes mention as relevant for marking this code, regardless of whether the emotion is inferred or explicitly stated. Therefore, the utterance clearly meets the criteria for the Feelings/Emotions code.
Step 2:"
33304:,T,And why do you think you would feel happy?,1,"Step 1:#### The utterance directly asks for a description of an emotional state (happy), which matches the coding manual's emphasis on naming or describing emotional or affective states. The keyword ""feel happy"" is explicitly used, aligning with the criteria for the Feelings/Emotions code. This indicates the utterance is asking to understand or explain the cause of a positive emotional state, which captures the essence of the code's intent to identify discussions around feelings and emotions.
Step 2:"
